Time,NetEnergy,DiffEnergy
0.0465,31.4169,1.2945e-06
0.0465179,31.4832,0.0662636
0.0467321,31.5756,0.092464
0.04675,31.588,0.012401
0.04675,31.588,1.2945e-06
0.0467679,31.6543,0.0662636
0.0469821,31.7468,0.092464
0.047,31.7592,0.012401
0.047,31.7592,1.2945e-06
0.0470179,31.8254,0.0662636
0.0472321,31.9179,0.092464
0.04725,31.9303,0.012401
0.04725,31.9303,1.2945e-06
0.0472679,31.9966,0.0662636
0.0474821,32.089,0.092464
0.0475,32.1014,0.012401
0.0475,32.1014,1.2945e-06
0.0475179,32.1677,0.0662636
0.0477321,32.2601,0.092464
0.04775,32.2725,0.012401
0.04775,32.2725,1.2945e-06
0.0477679,32.3388,0.0662636
0.0479821,32.4313,0.092464
0.048,32.4437,0.012401
0.048,32.4437,1.2945e-06
0.0480179,32.5099,0.0662636
0.0482321,32.6024,0.092464
0.04825,32.6148,0.012401
0.04825,32.6148,1.2945e-06
0.0482679,32.6811,0.0662636
0.0484821,32.7735,0.092464
0.0485,32.7859,0.012401
0.0485,32.7859,1.2945e-06
0.0485179,32.8522,0.0662636
0.0487321,32.9447,0.092464
0.04875,32.9571,0.012401
0.04875,32.9571,1.2945e-06
0.0487679,33.0233,0.0662636
0.0489821,33.1158,0.092464
0.049,33.1282,0.012401
0.049,33.1282,1.2945e-06
0.0490179,33.1945,0.0662636
0.0492321,33.2869,0.092464
0.04925,33.2993,0.012401
0.04925,33.2993,1.2945e-06
0.0492679,33.3656,0.0662636
0.0494821,33.4581,0.092464
0.0495,33.4705,0.012401
0.0495,33.4705,1.2945e-06
0.0495179,33.5367,0.0662636
0.0497321,33.6292,0.092464
0.04975,33.6416,0.012401
0.04975,33.6416,1.2945e-06
0.0497679,33.7079,0.0662636
0.0499821,33.8003,0.092464
0.05,33.8127,0.012401
0.05,33.8127,1.2945e-06
0.0500179,33.879,0.0662636
0.0502321,33.9714,0.092464
0.05025,33.9838,0.012401
0.05025,33.9838,1.2945e-06
0.0502679,34.0501,0.0662636
0.0504821,34.1426,0.092464
0.0505,34.155,0.012401
0.0505,34.155,1.2945e-06
0.0505179,34.2212,0.0662636
0.0507321,34.3137,0.092464
0.05075,34.3261,0.012401
0.05075,34.3261,1.2945e-06
0.0507679,34.3924,0.0662636
0.0509821,34.4848,0.092464
0.051,34.4972,0.012401
0.051,34.4972,1.2945e-06
0.0510179,34.5635,0.0662636
0.0512321,34.656,0.092464
0.05125,34.6684,0.012401
0.05125,34.6684,1.2945e-06
0.0512679,34.7346,0.0662636
0.0514821,34.8271,0.092464
0.0515,34.8395,0.012401
0.0515,34.8395,1.2945e-06
0.0515179,34.9058,0.0662636
0.0517321,34.9982,0.092464
0.05175,35.0106,0.012401
0.05175,35.0106,1.2945e-06
0.0517679,35.0769,0.0662636
0.0519821,35.1694,0.092464
0.052,35.1818,0.012401
0.052,35.1818,1.2945e-06
0.0520179,35.248,0.0662636
0.0522321,35.3405,0.092464
0.05225,35.3529,0.012401
0.05225,35.3529,1.2945e-06
0.0522679,35.4191,0.0662636
0.0524821,35.5116,0.092464
0.0525,35.524,0.012401
0.0525,35.524,1.2945e-06
0.0525179,35.5903,0.0662636
0.0527321,35.6827,0.092464
0.05275,35.6951,0.012401
0.05275,35.6951,1.2945e-06
0.0527679,35.7614,0.0662636
0.0529821,35.8539,0.092464
0.053,35.8663,0.012401
0.053,35.8663,1.2945e-06
0.0530179,35.9325,0.0662636
0.0532321,36.025,0.092464
0.05325,36.0374,0.012401
0.05325,36.0374,1.2945e-06
0.0532679,36.1037,0.0662636
0.0534821,36.1961,0.092464
0.0535,36.2085,0.012401
0.0535,36.2085,1.2945e-06
0.0535179,36.2748,0.0662636
0.0537321,36.3673,0.092464
0.05375,36.3797,0.012401
0.05375,36.3797,1.2945e-06
0.0537679,36.4459,0.0662636
0.0539821,36.5384,0.092464
0.054,36.5508,0.012401
0.054,36.5508,1.2945e-06
0.0540179,36.6171,0.0662636
0.0542321,36.7095,0.092464
0.05425,36.7219,0.012401
0.05425,36.7219,1.2945e-06
0.0542679,36.7882,0.0662636
0.0544821,36.8807,0.092464
0.0545,36.8931,0.012401
0.0545,36.8931,1.2945e-06
0.0545179,36.9593,0.0662636
0.0547321,37.0518,0.092464
0.05475,37.0642,0.012401
0.05475,37.0642,1.2945e-06
0.0547679,37.1304,0.0662636
0.0549821,37.2229,0.092464
0.055,37.2353,0.012401
0.055,37.2353,1.2945e-06
0.0550179,37.3016,0.0662636
0.0552321,37.394,0.092464
0.05525,37.4064,0.012401
0.05525,37.4064,1.2945e-06
0.0552679,37.4727,0.0662636
0.0554821,37.5652,0.092464
0.0555,37.5776,0.012401
0.0555,37.5776,1.2945e-06
0.0555179,37.6438,0.0662636
0.0557321,37.7363,0.092464
0.05575,37.7487,0.012401
0.05575,37.7487,1.2945e-06
0.0557679,37.815,0.0662636
0.0559821,37.9074,0.092464
0.056,37.9198,0.012401
0.056,37.9198,1.2945e-06
0.0560179,37.9861,0.0662636
0.0562321,38.0786,0.092464
0.05625,38.091,0.012401
0.05625,38.091,1.2945e-06
0.0562679,38.1572,0.0662636
0.0564821,38.2497,0.092464
0.0565,38.2621,0.012401
0.0565,38.2621,1.2945e-06
0.0565179,38.3284,0.0662636
0.0567321,38.4208,0.092464
0.05675,38.4332,0.012401
0.05675,38.4332,1.2945e-06
0.0567679,38.4995,0.0662636
0.0569821,38.592,0.092464
0.057,38.6044,0.012401
0.057,38.6044,1.2945e-06
0.0570179,38.6706,0.0662636
0.0572321,38.7631,0.092464
0.05725,38.7755,0.012401
0.05725,38.7755,1.2945e-06
0.0572679,38.8417,0.0662636
0.0574821,38.9342,0.092464
0.0575,38.9466,0.012401
0.0575,38.9466,1.2945e-06
0.0575179,39.0129,0.0662636
0.0577321,39.1053,0.092464
0.05775,39.1177,0.012401
0.05775,39.1177,1.2945e-06
